Date,<7000,7000-8000,8000-9000,9000-10000,10000-11000,11000-12000,>12000,total
2025-12-17,3.1038158709861825e-08,3.8390317058656365e-06,3.07494483422488e-05,6.991506234044209e-05,7.577738870168105e-05,6.459080759668723e-05,4.743721729028039e-05,2.489162034180481e-05
2025-12-18,1.5814267229075085e-08,2.038708544205292e-06,2.147348459402565e-05,6.175455928314477e-05,7.165946590248495e-05,6.117446901043877e-05,4.391423863125965e-05,2.183839569624979e-05
2025-12-19,2.028489554106727e-08,2.3189506919152336e-06,2.5404966436326504e-05,6.838073022663593e-05,7.334758265642449e-05,5.721445268136449e-05,3.784700311371125e-05,2.300616688444279e-05
2025-12-20,4.227731942307855e-09,1.2714891681753215e-06,2.0593663066392764e-05,6.625973765039816e-05,7.696347893215716e-05,6.218728958629072e-05,4.234376683598384e-05,2.272507299494464e-05
2025-12-21,6.523701023830594e-10,6.977363113946922e-07,1.5414610970765352e-05,5.887880979571492e-05,7.382222975138575e-05,6.238561763893813e-05,4.351461393525824e-05,2.082813625747804e-05
2025-12-22,9.101067989514268e-12,3.9164640952549234e-07,1.194904871226754e-05,5.350575156626292e-05,7.173923222580925e-05,6.109438982093707e-05,4.1691819205880165e-05,1.939261346706189e-05
2025-12-23,7.777350674587069e-08,3.626086709118681e-06,2.936150849564001e-05,7.861132326070219e-05,9.218854393111542e-05,7.481039938284084e-05,5.3141353419050574e-05,2.806873453664593e-05
2025-12-24,1.7520054740316482e-08,2.574308609837317e-06,2.699769356695469e-05,7.592466863570735e-05,8.909047755878419e-05,7.164211274357513e-05,4.981009988114238e-05,2.673941344255581e-05
2025-12-25,4.786484623764409e-06,6.174037844175473e-05,0.0001231309433933,0.000179625043529,0.0001882978540379,0.0001645000447751,0.0001401163463015,7.787330105202273e-05
2025-12-26,1.8912953237304464e-05,0.0001425217778887,0.0002150556101696,0.0002702871861401,0.0002699039469007,0.0002397617790848,0.0002125304890796,0.0001308926875935
2025-12-27,2.7545222110347822e-05,0.000179764087079,0.0002538917178753,0.0002933177165687,0.0002710408589337,0.0002282003697473,0.0001958498905878,0.0001464564120396
2025-12-28,2.69410102191614e-05,0.0001782996405381,0.0002533598453737,0.0002926875604316,0.0002703590143937,0.0002273475693073,0.0001944152172654,0.0001457111939089
2025-12-29,2.594511352072004e-05,0.0001760731538524,0.0002522846625652,0.0002916684898082,0.0002694180002436,0.0002263989008497,0.0001933260064106,0.0001445482484996
2025-12-30,2.566524199210108e-05,0.0001664128940319,0.0002375625044805,0.0002757871116045,0.0002610114461276,0.0002179443108616,0.0001797533332137,0.0001378598826704
2025-12-31,2.4224005755968392e-05,0.0001638330286368,0.0002361889637541,0.0002741114294622,0.0002588262432254,0.0002144814643543,0.0001743017201079,0.0001359966845484
2026-01-01,2.3241102098836564e-05,0.0001639317633816,0.0002384629187872,0.0002766566758509,0.0002603604225441,0.0002159059949917,0.0001758235885063,0.0001364196359645
2026-01-02,2.3346572561422363e-05,0.0001783665356924,0.0002679296885617,0.0003077899746131,0.0002892212942242,0.0002424024132778,0.0001992817269638,0.0001505903783254
2026-01-03,2.2275311494013295e-05,0.000177400914253667,0.0002742382057476789,0.0003160155320074409,0.00029406161047518253,0.00024015066446736455,0.00018957782594952732,0.00015196556341834366
